temperature,buffer,protein
300,5.804490423,5.447336593
300.5,5.05787143,5.57279148
301,5.743337703,6.035502299
301.5,5.808740048,5.877418003
302,6.458692266,5.762268103
302.5,6.677443199,6.063057295
303,6.77501257,7.029893091
303.5,7.633163591,6.133124281
304,5.507561656,6.814796821
304.5,6.629660365,6.912946327
305,6.657719408,6.907496739
305.5,7.618865808,7.122443709
306,8.617064453,7.400653679
306.5,7.342801831,6.796484686
307,8.136164694,7.586087276
307.5,7.63888446,7.780669713
308,7.56106725,7.202380897
308.5,7.874330176,7.687419332
309,7.321286733,8.678799177
309.5,7.825676739,8.196097193
310,8.110227148,7.997516184
310.5,7.77344443,8.549905032
311,8.758596848,7.428311205
311.5,8.482410409,8.272688133
312,8.891133557,7.847591928
312.5,8.201615189,8.784598128
313,8.310131461,9.01261009
313.5,8.570685884,8.971367412
314,9.157600882,8.288566418
314.5,9.612133255,8.883042636
315,8.365558395,8.577140778
315.5,9.067625865,8.86410981
316,8.761601053,8.46987594
316.5,9.151041726,8.835455233
317,9.679937447,9.180693349
317.5,9.161133795,9.278204001
318,8.474540354,9.512235885
318.5,9.306215523,9.105800712
319,9.194735412,8.981526076
319.5,9.772133524,9.270798284
320,9.297530623,8.939995978
320.5,9.518842377,9.438837453
321,9.815437983,8.79972877
321.5,10.64037701,9.951024619
322,9.588657924,9.44865497
322.5,9.958274286,9.440312369
323,9.47277464,9.285898053
323.5,10.0264449,9.536910805
324,9.559275615,10.20934949
324.5,10.46748302,10.28916613
325,9.833973808,10.28957869
325.5,10.0570891,10.32124593
326,9.402969925,9.471686754
326.5,9.379829968,9.838854116
327,9.471089746,10.18156672
327.5,8.65366706,10.0754211
328,10.23204692,9.296928816
328.5,10.52383212,9.895703569
329,10.19174047,10.05560351
329.5,9.519628893,9.365683043
330,9.0421713,10.23753164
330.5,10.20260647,9.851682503
331,9.679494929,9.742055708
331.5,9.643766359,10.24452366
332,9.317194417,9.774681665
332.5,9.523215843,10.27848261
333,9.470047239,10.23501696
333.5,10.15292374,9.882977455
334,9.855477335,9.60508794
334.5,9.90248012,10.87213521
335,10.74972699,9.318184828
335.5,9.841411691,9.710888217
336,9.516966612,9.97535831
336.5,9.271096386,10.4318738
337,10.16629103,9.545208639
337.5,9.17838251,10.36196766
338,9.909796264,10.03583151
338.5,9.929552432,9.573559347
339,9.765725745,9.79975904
339.5,9.46626502,10.06315113
340,9.486819267,10.11495114
340.5,9.625838779,9.125359649
341,9.446703408,9.572833754
341.5,9.295477633,9.559935479
342,7.887545475,9.270629828
342.5,9.306623839,9.28713205
343,9.1451339,9.19175549
343.5,8.691023096,9.91703831
344,8.739706173,8.707491943
344.5,9.231132076,8.918581164
345,8.593350189,9.733337199
345.5,8.705054428,8.857679401
346,8.565122145,8.901691893
346.5,8.688306158,8.189008758
347,8.698842583,9.387875468
347.5,7.616182187,9.642030861
348,9.233355619,9.170873313
348.5,7.844195669,8.70798559
349,7.994586109,8.834982824
349.5,8.667715037,9.088312726
350,7.767891103,9.906337923
350.5,7.954985017,8.316919068
351,7.431047707,10.34681785
351.5,8.671364913,10.28746185
352,7.080798488,10.0619398
352.5,7.754370367,11.47907666
353,7.33746796,11.77453807
353.5,7.76940362,13.59226207
354,7.63286286,14.13898368
354.5,7.405760347,17.13666281
355,6.530892662,19.1084189
355.5,6.947180209,21.64937092
356,5.804474482,24.68263085
356.5,7.309162371,28.63963549
357,6.552061128,33.84121885
357.5,6.481576782,39.53202534
358,5.470297991,45.72016427
358.5,5.846574795,52.65361492
359,4.783152459,60.05696083
359.5,5.34750983,66.53968613
360,5.213219527,73.22940842
360.5,5.373745992,76.21587177
361,4.469036985,78.87201613
361.5,4.21830723,78.48862131
362,5.102062561,76.15782492
362.5,4.080234472,72.3768598
363,4.816575121,66.9043737
363.5,4.251735981,60.33531405
364,3.533980266,54.22070069
364.5,4.176820237,48.3487344
365,4.230642589,41.47110185
365.5,3.261557448,35.6684758
366,3.237164309,31.3850767
366.5,3.807549965,26.7703944
367,3.599430058,22.91740957
367.5,3.653260686,20.62844294
368,3.021450298,18.55393569
368.5,2.393623837,15.66036687
369,2.76090965,15.36118591
369.5,2.428679545,14.30977231
370,1.847803373,13.37458194
370.5,2.000204935,11.67539673
371,0.85054581,10.96030072
371.5,2.495943774,10.54539622
372,0.373459386,9.126187932
372.5,1.282297184,9.786112858
373,2.031912029,9.704538654
